,Transect,X,Y,Type,Site,Site+Point
473,o'mullane,714308,1602889,Périurbain,S48,S48P3
474,o'mullane,714180,1602970,Périurbain,S48,S48P4
475,o'mullane,714059,1603091,Périurbain,S48,S48P5
476,o'mullane,713935,1603145,Périurbain,S48,S48P6
477,o'mullane,713874,1603286,Périurbain,S48,S48P7
478,o'mullane,713870,1603447,Périurbain,S48,S48P8
479,o'mullane,713836,1603610,Périurbain,S48,S48P9
480,o'mullane,713813,1603776,Périurbain,S48,S48P10
481,petit sentier rnc,727092,1633864,Forêt sèche,S49,S49P1
482,petit sentier rnc,727193,1633871,Forêt sèche,S49,S49P2
483,petit sentier rnc,727244,1633801,Forêt sèche,S49,S49P3
484,petit sentier rnc,727284,1633718,Forêt sèche,S49,S49P4
485,petit sentier rnc,727311,1633645,Forêt sèche,S49,S49P5
486,petit sentier rnc,727381,1633572,Forêt sèche,S49,S49P6
487,petit sentier rnc,727418,1633526,Forêt sèche,S49,S49P7
488,petit sentier rnc,727510,1633539,Forêt sèche,S49,S49P8
489,petit sentier rnc,727611,1633571,Forêt sèche,S49,S49P9
490,petit sentier rnc,727674,1633667,Forêt sèche,S49,S49P10
491,piton crève-cœur,731569,1598839,Forêt sèche,S50,S50P1
492,piton crève-cœur,731493,1598860,Forêt sèche,S50,S50P2
493,piton crève-cœur,731332,1598862,Forêt sèche,S50,S50P3
494,piton crève-cœur,731194,1598793,Forêt sèche,S50,S50P4
495,piton crève-cœur,731069,1598706,Forêt sèche,S50,S50P5
496,piton crève-cœur,731070,1598625,Forêt sèche,S50,S50P6
497,piton crève-cœur,731122,1598540,Forêt sèche,S50,S50P7
498,piton crève-cœur,731181,1598596,Forêt sèche,S50,S50P8
499,piton crève-cœur,731410,1598795,Forêt sèche,S50,S50P9
500,piton crève-cœur,731410,1598923,Forêt sèche,S50,S50P10
501,pointe banane,723923,1626820,Forêt sèche,S51,S51P1
502,pointe banane,723970,1626961,Forêt sèche,S51,S51P2
503,pointe banane,724057,1627084,Forêt sèche,S51,S51P3
504,pointe banane,724139,1627212,Forêt sèche,S51,S51P4
505,pointe banane,724177,1627363,Forêt sèche,S51,S51P5
506,pointe banane,724236,1627501,Forêt sèche,S51,S51P6
507,pointe banane,724367,1627569,Forêt sèche,S51,S51P7
508,pointe banane,724374,1627721,Forêt sèche,S51,S51P8
509,pointe banane,724306,1627858,Forêt sèche,S51,S51P9
510,pointe banane,724454,1627837,Forêt sèche,S51,S51P10
511,pointe jean-claude,722829,1628140,Forêt sèche,S52,S52P1
512,pointe jean-claude,722845,1628284,Forêt sèche,S52,S52P2
513,pointe jean-claude,722921,1628393,Forêt sèche,S52,S52P3
514,pointe jean-claude,723039,1628402,Forêt sèche,S52,S52P4
515,pointe jean-claude,723066,1628519,Forêt sèche,S52,S52P5
516,pointe jean-claude,723163,1628608,Forêt sèche,S52,S52P6
517,pointe jean-claude,723264,1628589,Forêt sèche,S52,S52P7
518,pointe jean-claude,723238,1628488,Forêt sèche,S52,S52P8
519,pointe jean-claude,722974,1628307,Forêt sèche,S52,S52P9
520,pointe jean-claude,722899,1628058,Forêt sèche,S52,S52P10
521,pointe la rose,725928,1621635,Forêt sèche,S53,S53P1
522,pointe la rose,725955,1621418,Forêt sèche,S53,S53P2
523,pointe la rose,725962,1621332,Forêt sèche,S53,S53P3
524,pointe la rose,726007,1621188,Forêt sèche,S53,S53P4
525,pointe la rose,725965,1621050,Forêt sèche,S53,S53P5
526,pointe la rose,726004,1620913,Forêt sèche,S53,S53P6
527,pointe la rose,726141,1620857,Forêt sèche,S53,S53P7
528,pointe la rose,726230,1620972,Forêt sèche,S53,S53P8
529,pointe la rose,726301,1621289,Forêt sèche,S53,S53P9
530,pointe la rose,726400,1621452,Forêt sèche,S53,S53P10
531,pointe lynch,724130,1626172,Forêt sèche,S54,S54P1
532,pointe lynch,723979,1626167,Forêt sèche,S54,S54P2
533,pointe lynch,723822,1626169,Forêt sèche,S54,S54P3
534,pointe lynch,723675,1626132,Forêt sèche,S54,S54P4
535,pointe lynch,723563,1626022,Forêt sèche,S54,S54P5
536,pointe lynch,723478,1625896,Forêt sèche,S54,S54P6
537,pointe lynch,723399,1625769,Forêt sèche,S54,S54P7
538,pointe lynch,723258,1625822,Forêt sèche,S54,S54P8
539,pointe lynch,723117,1625774,Forêt sèche,S54,S54P9
540,pointe lynch,723011,1625667,Forêt sèche,S54,S54P10
541,pointe rouge,722350,1632523,Forêt sèche,S55,S55P1
542,pointe rouge,722385,1632625,Forêt sèche,S55,S55P2
543,pointe rouge,722340,1632643,Forêt sèche,S55,S55P3
544,pointe rouge,722321,1632799,Forêt sèche,S55,S55P4
545,pointe rouge,722368,1632882,Forêt sèche,S55,S55P5
546,pointe rouge,722387,1632784,Forêt sèche,S55,S55P6
547,pointe rouge,722462,1632714,Forêt sèche,S55,S55P7
548,pointe rouge,722511,1632623,Forêt sèche,S55,S55P8
549,pointe rouge,722500,1632531,Forêt sèche,S55,S55P9
550,pointe rouge,722408,1632483,Forêt sèche,S55,S55P10
551,post-colon,707416,1622025,Périurbain,S56,S56P1
552,post-colon,707523,1621910,Périurbain,S56,S56P2
553,post-colon,707664,1621817,Périurbain,S56,S56P3
554,post-colon,707834,1621762,Périurbain,S56,S56P4
555,post-colon,707974,1621663,Périurbain,S56,S56P5
556,post-colon,708052,1621499,Périurbain,S56,S56P6
557,post-colon,708140,1621338,Périurbain,S56,S56P7
558,post-colon,708294,1621207,Périurbain,S56,S56P8
559,post-colon,708408,1621316,Périurbain,S56,S56P9
560,post-colon,708778,1621356,Périurbain,S56,S56P10
561,rivière l'or,708520,1621894,Forêt humide,S57,S57P1
562,rivière l'or,708348,1621985,Forêt humide,S57,S57P2
563,rivière l'or,708180,1622087,Forêt humide,S57,S57P3
564,rivière l'or,707966,1622143,Forêt humide,S57,S57P4
565,rivière l'or,707774,1622231,Forêt humide,S57,S57P5
566,rivière l'or,707613,1622319,Forêt humide,S57,S57P6
567,rivière l'or,707455,1622426,Forêt humide,S57,S57P7
568,rivière l'or,707352,1622583,Forêt humide,S57,S57P8
569,rivière l'or,707088,1622684,Forêt humide,S57,S57P9
570,rivière l'or,707233,1622475,Forêt humide,S57,S57P10
571,rocher leclerc,726123,1618218,Forêt sèche,S58,S58P1
572,rocher leclerc,726047,1618438,Forêt sèche,S58,S58P2
573,rocher leclerc,726071,1618680,Forêt sèche,S58,S58P3
574,rocher leclerc,726201,1618853,Forêt sèche,S58,S58P4
575,rocher leclerc,726423,1618945,Forêt sèche,S58,S58P5
576,rocher leclerc,726600,1618982,Forêt sèche,S58,S58P6
577,rocher leclerc,726693,1619121,Forêt sèche,S58,S58P7
578,rocher leclerc,726782,1619285,Forêt sèche,S58,S58P8
579,rocher leclerc,726610,1619355,Forêt sèche,S58,S58P9
580,rocher leclerc,726608,1619558,Forêt sèche,S58,S58P10
581,route forestière de palourde,709251,1628062,Forêt humide,S59,S59P1
582,route forestière de palourde,709121,1627986,Forêt humide,S59,S59P2
583,route forestière de palourde,709031,1628123,Forêt humide,S59,S59P3
584,route forestière de palourde,708898,1628205,Forêt humide,S59,S59P4
585,route forestière de palourde,708787,1628314,Forêt humide,S59,S59P5
586,route forestière de palourde,708636,1628355,Forêt humide,S59,S59P6
587,route forestière de palourde,708514,1628441,Forêt humide,S59,S59P7
588,route forestière de palourde,708537,1628592,Forêt humide,S59,S59P8
589,route forestière de palourde,708468,1628730,Forêt humide,S59,S59P9
590,route forestière de palourde,708317,1628749,Forêt humide,S59,S59P10
591,trace des caps,733663,1596797,Plage,S60,S60P1
592,trace des caps,733753,1596924,Plage,S60,S60P2
593,trace des caps,733858,1597036,Plage,S60,S60P3
594,trace des caps,734011,1597134,Plage,S60,S60P4
595,trace des caps,734099,1597170,Plage,S60,S60P5
596,trace des caps,734205,1597111,Plage,S60,S60P6
597,trace des caps,734313,1597143,Plage,S60,S60P7
598,trace des caps,734391,1597304,Plage,S60,S60P8
599,trace des caps,734373,1597433,Plage,S60,S60P9
600,trace des caps,734448,1597568,Plage,S60,S60P10
601,tunnel didier 2,706041,1619823,Forêt humide,S61,S61P1
602,tunnel didier 2,706047,1619957,Forêt humide,S61,S61P2
603,tunnel didier 2,706063,1620114,Forêt humide,S61,S61P3
604,tunnel didier 2,705972,1620242,Forêt humide,S61,S61P4
605,tunnel didier 2,705896,1620360,Forêt humide,S61,S61P5
606,tunnel didier 2,705872,1620513,Forêt humide,S61,S61P6
607,tunnel didier 2,705814,1620604,Forêt humide,S61,S61P7
608,tunnel didier 2,705765,1620758,Forêt humide,S61,S61P8
609,tunnel didier 2,705809,1620911,Forêt humide,S61,S61P9
610,tunnel didier 2,705729,1620984,Forêt humide,S61,S61P10
611,tunnel didier,705257,1621982,Forêt humide,S62,S62P1
612,tunnel didier,705402,1621778,Forêt humide,S62,S62P2
613,tunnel didier,705495,1621651,Forêt humide,S62,S62P3
614,tunnel didier,705439,1621525,Forêt humide,S62,S62P4
615,tunnel didier,705406,1621374,Forêt humide,S62,S62P5
616,tunnel didier,705439,1621229,Forêt humide,S62,S62P6
617,tunnel didier,705514,1621086,Forêt humide,S62,S62P7
618,tunnel didier,705570,1620933,Forêt humide,S62,S62P8
619,tunnel didier,705686,1621036,Forêt humide,S62,S62P9
620,tunnel didier,705796,1621103,Forêt humide,S62,S62P10
621,vallée fond lahaye,703691,1618443,Périurbain,S63,S63P1
622,vallée fond lahaye,703789,1618573,Périurbain,S63,S63P2
623,vallée fond lahaye,703897,1618703,Périurbain,S63,S63P3
624,vallée fond lahaye,703892,1618676,Périurbain,S63,S63P4
625,vallée fond lahaye,703943,1619025,Périurbain,S63,S63P5
626,vallée fond lahaye,703966,1619189,Périurbain,S63,S63P6
627,vallée fond lahaye,703974,1619366,Périurbain,S63,S63P7
628,vallée fond lahaye,704037,1619583,Périurbain,S63,S63P8
629,vallée fond lahaye,704056,1619771,Périurbain,S63,S63P9
630,vallée fond lahaye,704215,1620159,Périurbain,S63,S63P10
631,verrier,701228,1624531,Agricole,S64,S64P1
632,verrier,701088,1624429,Agricole,S64,S64P2
633,verrier,701114,1624596,Agricole,S64,S64P3
634,verrier,701210,1624700,Agricole,S64,S64P4
635,verrier,701127,1624877,Agricole,S64,S64P5
636,verrier,700971,1624814,Agricole,S64,S64P6
637,verrier,700758,1624817,Agricole,S64,S64P7
638,verrier,700502,1624779,Agricole,S64,S64P8
639,verrier,700317,1624579,Agricole,S64,S64P9
640,verrier,700146,1624476,Agricole,S64,S64P10
641,bois pothau,723849,1626490,Forêt sèche,S65,S65P1
642,bois pothau,723720,1626479,Forêt sèche,S65,S65P2
643,bois pothau,723624,1626474,Forêt sèche,S65,S65P3
644,bois pothau,723527,1626539,Agricole,S65,S65P4
645,bois pothau,723442,1626626,Agricole,S65,S65P5
646,bois pothau,723470,1626744,Agricole,S65,S65P6
647,bois pothau,723445,1626828,Agricole,S65,S65P7
648,bois pothau,723427,1626945,Forêt sèche,S65,S65P8
649,bois pothau,723481,1627061,Forêt sèche,S65,S65P9
650,bois pothau,723598,1627125,Forêt sèche,S65,S65P10
