,Transect,X,Y,Type,Site,Site+Point
111,canal cocotte,717283,1611728,Agricole,S12,S12P1
112,canal cocotte,717120,1611669,Agricole,S12,S12P2
113,canal cocotte,716954,1611579,Agricole,S12,S12P3
114,canal cocotte,716816,1611448,Agricole,S12,S12P4
115,canal cocotte,716640,1611335,Agricole,S12,S12P5
116,canal cocotte,716508,1611220,Agricole,S12,S12P6
117,canal cocotte,716633,1611084,Agricole,S12,S12P7
118,canal cocotte,716449,1611382,Agricole,S12,S12P8
119,canal cocotte,716415,1611547,Agricole,S12,S12P9
120,canal cocotte,716377,1611717,Agricole,S12,S12P10
121,canal dillon,710039,1616346,Urbain,S13,S13P1
122,canal dillon,709964,1616132,Urbain,S13,S13P2
123,canal dillon,709849,1616003,Urbain,S13,S13P3
124,canal dillon,709800,1615820,Urbain,S13,S13P4
125,canal dillon,709823,1615605,Urbain,S13,S13P5
126,canal dillon,709939,1615389,Urbain,S13,S13P6
127,canal dillon,709911,1615182,Urbain,S13,S13P7
128,canal dillon,709809,1614933,Urbain,S13,S13P8
129,canal dillon,709526,1614729,Urbain,S13,S13P9
130,canal dillon,709378,1614646,Urbain,S13,S13P10
131,cap est,730295,1613704,Agricole,S14,S14P1
132,cap est,730141,1613698,Agricole,S14,S14P2
133,cap est,730078,1613553,Agricole,S14,S14P3
134,cap est,729922,1613558,Agricole,S14,S14P4
135,cap est,729769,1613558,Agricole,S14,S14P5
136,cap est,729608,1613506,Agricole,S14,S14P6
137,cap est,729423,1613504,Agricole,S14,S14P7
138,cap est,729265,1613453,Agricole,S14,S14P8
139,cap est,729204,1613342,Agricole,S14,S14P9
140,cap est,729208,1613142,Agricole,S14,S14P10
141,carrère,715038,1613242,Agricole,S15,S15P1
142,carrère,715285,1613261,Agricole,S15,S15P2
143,carrère,715537,1613277,Agricole,S15,S15P3
144,carrère,715768,1613298,Agricole,S15,S15P4
145,carrère,716140,1613435,Agricole,S15,S15P5
146,carrère,716395,1613444,Agricole,S15,S15P6
147,carrère,716604,1613510,Agricole,S15,S15P7
148,carrère,716604,1613510,Agricole,S15,S15P8
149,carrère,716773,1613688,Agricole,S15,S15P9
150,carrère,716727,1613898,Agricole,S15,S15P10
151,desmarinières,719767,1604968,Périurbain,S16,S16P1
152,desmarinières,719834,1604794,Périurbain,S16,S16P2
153,desmarinières,719812,1604591,Périurbain,S16,S16P3
154,desmarinières,719902,1604448,Périurbain,S16,S16P4
155,desmarinières,720005,1604296,Périurbain,S16,S16P5
156,desmarinières,720185,1604141,Périurbain,S16,S16P6
157,desmarinières,720410,1603994,Périurbain,S16,S16P7
158,desmarinières,720600,1604016,Périurbain,S16,S16P8
159,desmarinières,720860,1604005,Périurbain,S16,S16P9
160,desmarinières,721065,1604084,Périurbain,S16,S16P10
161,domaine d'emeraude,704527,1631369,Forêt humide,S17,S17P1
162,domaine d'emeraude,704579,1631507,Forêt humide,S17,S17P2
163,domaine d'emeraude,704724,1631537,Forêt humide,S17,S17P3
164,domaine d'emeraude,704818,1631424,Forêt humide,S17,S17P4
165,domaine d'emeraude,704681,1631371,Forêt humide,S17,S17P5
166,domaine d'emeraude,704826,1631409,Forêt humide,S17,S17P6
167,domaine d'emeraude,704672,1631449,Forêt humide,S17,S17P7
168,domaine d'emeraude,704599,1631321,Forêt humide,S17,S17P8
169,domaine d'emeraude,704471,1631295,Forêt humide,S17,S17P9
170,domaine d'emeraude,704379,1631417,Forêt humide,S17,S17P10
171,fond baron,705363,1623439,Forêt humide,S18,S18P1
172,fond baron,705474,1623541,Forêt humide,S18,S18P2
173,fond baron,705593,1623631,Forêt humide,S18,S18P3
174,fond baron,705714,1623715,Forêt humide,S18,S18P4
175,fond baron,705586,1623793,Forêt humide,S18,S18P5
176,fond baron,705511,1623925,Forêt humide,S18,S18P6
177,fond baron,705477,1624071,Forêt humide,S18,S18P7
178,fond baron,705343,1624003,Forêt humide,S18,S18P8
179,fond baron,705305,1624147,Forêt humide,S18,S18P9
180,fond baron,705327,1624300,Forêt humide,S18,S18P10
181,fond rousseau,705263,1617674,Périurbain,S19,S19P1
182,fond rousseau,705079,1617663,Périurbain,S19,S19P2
183,fond rousseau,704901,1617655,Périurbain,S19,S19P3
184,fond rousseau,704715,1617623,Périurbain,S19,S19P4
185,fond rousseau,704585,1617700,Périurbain,S19,S19P5
186,fond rousseau,704685,1617489,Périurbain,S19,S19P6
187,fond rousseau,704565,1617328,Périurbain,S19,S19P7
188,fond rousseau,704572,1617161,Périurbain,S19,S19P8
189,fond rousseau,704620,1617027,Périurbain,S19,S19P9
190,fond rousseau,704574,1616837,Périurbain,S19,S19P10
191,fond l'etang,706274,1624126,Forêt humide,S20,S20P1
192,fond l'etang,706255,1623958,Forêt humide,S20,S20P2
193,fond l'etang,706244,1623802,Forêt humide,S20,S20P3
194,fond l'etang,706247,1623613,Forêt humide,S20,S20P4
195,fond l'etang,706427,1623534,Forêt humide,S20,S20P5
196,fond l'etang,706592,1623539,Forêt humide,S20,S20P6
197,fond l'etang,706337,1623463,Forêt humide,S20,S20P7
198,fond l'etang,706478,1623454,Forêt humide,S20,S20P8
199,fond l'etang,706637,1623434,Forêt humide,S20,S20P9
200,fond l'etang,706238,1623362,Forêt humide,S20,S20P10
201,fonds préville,700601,1643980,Agricole,S21,S21P1
202,fonds préville,700754,1643984,Agricole,S21,S21P2
203,fonds préville,700625,1643668,Agricole,S21,S21P3
204,fonds préville,700523,1643469,Agricole,S21,S21P4
205,fonds préville,700382,1643252,Agricole,S21,S21P5
206,fonds préville,700250,1643128,Agricole,S21,S21P6
207,fonds préville,700177,1642927,Agricole,S21,S21P7
208,fonds préville,700104,1642768,Agricole,S21,S21P8
209,fonds préville,700607,1643348,Agricole,S21,S21P9
210,fonds préville,700793,1643452,Agricole,S21,S21P10
211,forêt la philippe,714563,1637528,Forêt sèche,S22,S22P1
212,forêt la philippe,714706,1637496,Forêt sèche,S22,S22P2
213,forêt la philippe,714709,1637651,Forêt sèche,S22,S22P3
214,forêt la philippe,714728,1637798,Forêt sèche,S22,S22P4
215,forêt la philippe,714806,1637933,Forêt sèche,S22,S22P5
216,forêt la philippe,714938,1637982,Forêt sèche,S22,S22P6
217,forêt la philippe,714636,1637926,Forêt sèche,S22,S22P7
218,forêt la philippe,714485,1637954,Forêt sèche,S22,S22P8
219,forêt la philippe,714393,1638071,Forêt sèche,S22,S22P9
220,forêt la philippe,714448,1637809,Forêt sèche,S22,S22P10
221,forêt la reculée,710699,1634363,Forêt humide,S23,S23P1
222,forêt la reculée,710550,1634380,Forêt humide,S23,S23P2
223,forêt la reculée,710477,1634251,Forêt humide,S23,S23P3
224,forêt la reculée,710339,1634315,Forêt humide,S23,S23P4
225,forêt la reculée,710188,1634342,Forêt humide,S23,S23P5
226,forêt la reculée,710115,1634474,Forêt humide,S23,S23P6
227,forêt la reculée,709964,1634468,Forêt humide,S23,S23P7
228,forêt la reculée,710295,1634171,Forêt humide,S23,S23P8
229,forêt la reculée,710189,1634066,Forêt humide,S23,S23P9
230,forêt la reculée,710123,1633930,Forêt humide,S23,S23P10
231,forêt montravail,723114,1603747,Forêt humide,S24,S24P1
232,forêt montravail,723201,1603881,Forêt humide,S24,S24P2
233,forêt montravail,723318,1603993,Forêt humide,S24,S24P3
234,forêt montravail,723002,1604034,Forêt humide,S24,S24P4
235,forêt montravail,722649,1604076,Forêt humide,S24,S24P5
236,forêt montravail,722703,1604167,Forêt humide,S24,S24P6
237,forêt montravail,722968,1603712,Forêt humide,S24,S24P7
238,forêt montravail,722822,1603647,Forêt humide,S24,S24P8
239,forêt montravail,722667,1603625,Forêt humide,S24,S24P9
240,forêt montravail,722528,1603561,Forêt humide,S24,S24P10
241,forêt vatable,712729,1607879,Forêt sèche,S25,S25P1
242,forêt vatable,712836,1607994,Forêt sèche,S25,S25P2
243,forêt vatable,712873,1608112,Forêt sèche,S25,S25P3
244,forêt vatable,712942,1608234,Forêt sèche,S25,S25P4
245,forêt vatable,713071,1608314,Forêt sèche,S25,S25P5
246,forêt vatable,713037,1608173,Forêt sèche,S25,S25P6
247,forêt vatable,712979,1608030,Forêt sèche,S25,S25P7
248,forêt vatable,713049,1607896,Forêt sèche,S25,S25P8
249,forêt vatable,712985,1607752,Forêt sèche,S25,S25P9
250,forêt vatable,712890,1607864,Forêt sèche,S25,S25P10
251,forêt vatable 2,712540,1607872,Forêt sèche,S26,S26P1
252,forêt vatable 2,712513,1608022,Forêt sèche,S26,S26P2
253,forêt vatable 2,712367,1608004,Forêt sèche,S26,S26P3
254,forêt vatable 2,712463,1607744,Forêt sèche,S26,S26P4
255,forêt vatable 2,712743,1607686,Forêt sèche,S26,S26P5
256,forêt vatable 2,712932,1607639,Forêt sèche,S26,S26P6
257,forêt vatable 2,713060,1607722,Forêt sèche,S26,S26P7
258,forêt vatable 2,713204,1607808,Forêt sèche,S26,S26P8
259,forêt vatable 2,713109,1607929,Forêt sèche,S26,S26P9
260,forêt vatable 2,713241,1608008,Forêt sèche,S26,S26P10
261,fort de france centre ville,707802,1615754,Urbain,S27,S27P1
262,fort de france centre ville,707898,1615643,Urbain,S27,S27P2
263,fort de france centre ville,708056,1615569,Urbain,S27,S27P3
264,fort de france centre ville,708179,1615456,Urbain,S27,S27P4
265,fort de france centre ville,708356,1615372,Urbain,S27,S27P5
266,fort de france centre ville,708248,1615251,Urbain,S27,S27P6
267,fort de france centre ville,708200,1615110,Urbain,S27,S27P7
268,fort de france centre ville,708063,1615205,Urbain,S27,S27P8
269,fort de france centre ville,708070,1615329,Urbain,S27,S27P9
270,fort de france centre ville,707950,1615419,Urbain,S27,S27P10
271,galion,721756,1627186,Agricole,S28,S28P1
272,galion,721653,1627337,Agricole,S28,S28P2
273,galion,721564,1627467,Agricole,S28,S28P3
274,galion,721478,1627594,Agricole,S28,S28P4
275,galion,721387,1627731,Agricole,S28,S28P5
276,galion,721295,1627869,Agricole,S28,S28P6
277,galion,721283,1627979,Agricole,S28,S28P7
278,galion,721376,1628100,Agricole,S28,S28P8
279,galion,721479,1628213,Agricole,S28,S28P9
280,galion,721533,1628182,Agricole,S28,S28P10
281,galion 2,720615,1628100,Agricole,S29,S29P1
282,galion 2,720447,1628114,Agricole,S29,S29P2
283,galion 2,720288,1628128,Agricole,S29,S29P3
284,galion 2,720214,1627992,Agricole,S29,S29P4
285,galion 2,720164,1627850,Agricole,S29,S29P5
286,galion 2,720258,1627717,Agricole,S29,S29P6
287,galion 2,720406,1627680,Agricole,S29,S29P7
288,galion 2,720531,1627773,Agricole,S29,S29P8
289,galion 2,720586,1627914,Agricole,S29,S29P9
290,galion 2,720403,1627932,Agricole,S29,S29P10
291,génipa,718104,1610112,Agricole,S30,S30P1
292,génipa,718564,1610216,Agricole,S30,S30P2
293,génipa,718210,1610340,Agricole,S30,S30P3
294,génipa,718117,1610547,Agricole,S30,S30P4
295,génipa,718005,1610362,Agricole,S30,S30P5
296,génipa,717750,1610577,Agricole,S30,S30P6
297,génipa,717869,1610135,Agricole,S30,S30P7
298,génipa,717808,1610319,Agricole,S30,S30P8
299,génipa,717594,1610340,Agricole,S30,S30P9
300,génipa,717428,1610360,Agricole,S30,S30P10
301,habitation petite rivière,719078,1620990,Agricole,S31,S31P1
302,habitation petite rivière,719017,1620876,Agricole,S31,S31P2
303,habitation petite rivière,719016,1620693,Agricole,S31,S31P3
304,habitation petite rivière,718814,1620563,Agricole,S31,S31P4
305,habitation petite rivière,718680,1620357,Agricole,S31,S31P5
306,habitation petite rivière,718553,1620616,Agricole,S31,S31P6
307,habitation petite rivière,718723,1620816,Agricole,S31,S31P7
308,habitation petite rivière,718729,1621158,Agricole,S31,S31P8
309,habitation petite rivière,718915,1621195,Agricole,S31,S31P9
310,habitation petite rivière,719199,1621134,Agricole,S31,S31P10
311,hôtel des plaisirs,709787,1624922,Agricole,S32,S32P1
312,hôtel des plaisirs,709650,1624835,Agricole,S32,S32P2
313,hôtel des plaisirs,709763,1624691,Agricole,S32,S32P3
314,hôtel des plaisirs,709895,1624601,Agricole,S32,S32P4
315,hôtel des plaisirs,710042,1624519,Agricole,S32,S32P5
316,hôtel des plaisirs,710186,1624498,Agricole,S32,S32P6
317,hôtel des plaisirs,710337,1624493,Agricole,S32,S32P7
318,hôtel des plaisirs,710495,1624404,Agricole,S32,S32P8
319,hôtel des plaisirs,710663,1624348,Agricole,S32,S32P9
320,hôtel des plaisirs,710689,1624199,Agricole,S32,S32P10
321,ilets du françois,730758,1616362,Forêt sèche,S33,S33P1
322,ilets du françois,730509,1616243,Forêt sèche,S33,S33P2
323,ilets du françois,730865,1616465,Forêt sèche,S33,S33P3
324,ilets du françois,731114,1616620,Forêt sèche,S33,S33P4
325,ilets du françois,731372,1616699,Forêt sèche,S33,S33P5
326,ilets du françois,731314,1616472,Forêt sèche,S33,S33P6
327,ilets du françois,731152,1618130,Forêt sèche,S33,S33P7
328,ilets du françois,731210,1618214,Forêt sèche,S33,S33P8
329,ilets du françois,731804,1618158,Forêt sèche,S33,S33P9
330,ilets du françois,731684,1618011,Forêt sèche,S33,S33P10
331,ilets du robert,727808,1625067,Forêt sèche,S34,S34P1
332,ilets du robert,727883,1624987,Forêt sèche,S34,S34P2
333,ilets du robert,727950,1624778,Forêt sèche,S34,S34P3
334,ilets du robert,727975,1624679,Forêt sèche,S34,S34P4
335,ilets du robert,727912,1622991,Forêt sèche,S34,S34P5
336,ilets du robert,727967,1622835,Forêt sèche,S34,S34P6
337,ilets du robert,728058,1622868,Forêt sèche,S34,S34P7
338,ilets du robert,728040,1622961,Forêt sèche,S34,S34P8
339,ilets du robert,724951,1624525,Forêt sèche,S34,S34P9
340,ilets du robert,725058,1624650,Forêt sèche,S34,S34P10
341,jeannot,697911,1622905,Périurbain,S35,S35P1
342,jeannot,698056,1622972,Périurbain,S35,S35P2
343,jeannot,698187,1623099,Périurbain,S35,S35P3
344,jeannot,698410,1623240,Périurbain,S35,S35P4
345,jeannot,698603,1623213,Périurbain,S35,S35P5
346,jeannot,698712,1623356,Périurbain,S35,S35P6
347,jeannot,698865,1623461,Périurbain,S35,S35P7
348,jeannot,699058,1623449,Périurbain,S35,S35P8
349,jeannot,699291,1623371,Périurbain,S35,S35P9
350,jeannot,699454,1623502,Périurbain,S35,S35P10
351,la démarche,703567,1621512,Périurbain,S36,S36P1
352,la démarche,703654,1621317,Périurbain,S36,S36P2
353,la démarche,703695,1621111,Périurbain,S36,S36P3
354,la démarche,703772,1620915,Périurbain,S36,S36P4
355,la démarche,703731,1620700,Périurbain,S36,S36P5
356,la démarche,703628,1620541,Périurbain,S36,S36P6
357,la démarche,703534,1620326,Périurbain,S36,S36P7
358,la démarche,703585,1620116,Périurbain,S36,S36P8
359,la démarche,703490,1619891,Périurbain,S36,S36P9
360,la démarche,703405,1619694,Périurbain,S36,S36P10
361,la démarche 2,703644,1621660,Forêt humide,S37,S37P1
362,la démarche 2,703657,1621819,Forêt humide,S37,S37P2
363,la démarche 2,703737,1621956,Forêt humide,S37,S37P3
364,la démarche 2,703770,1622144,Forêt humide,S37,S37P4
365,la démarche 2,703792,1622293,Forêt humide,S37,S37P5
366,la démarche 2,703864,1622434,Forêt humide,S37,S37P6
367,la démarche 2,703845,1622580,Forêt humide,S37,S37P7
368,la démarche 2,703943,1622712,Forêt humide,S37,S37P8
369,la démarche 2,703989,1622843,Forêt humide,S37,S37P9
370,la démarche 2,704014,1622981,Forêt humide,S37,S37P10
371,lafayette,717344,1607690,Agricole,S38,S38P1
372,lafayette,717270,1607834,Agricole,S38,S38P2
373,lafayette,717175,1607987,Agricole,S38,S38P3
374,lafayette,717098,1608150,Agricole,S38,S38P4
375,lafayette,716961,1608225,Agricole,S38,S38P5
376,lafayette,716805,1608253,Agricole,S38,S38P6
377,lafayette,716677,1608148,Agricole,S38,S38P7
378,lafayette,716574,1608259,Agricole,S38,S38P8
379,lafayette,716487,1608419,Agricole,S38,S38P9
